Neighborhood,TotalCrime
Mission,6874
Tenderloin,6834
Financial District/South Beach,5906
South of Market,5376
Bayview Hunters Point,3858
Western Addition,2110
Nob Hill,1897
Castro/Upper Market,1864
North Beach,1808
Hayes Valley,1765
Sunset/Parkside,1614
Marina,1529
Russian Hill,1444
Outer Richmond,1339
West of Twin Peaks,1275
Chinatown,1173
Pacific Heights,1126
Haight Ashbury,1017
Potrero Hill,998
Bernal Heights,996
Mission Bay,989
Excelsior,983
Inner Richmond,862
Outer Mission,860
Lakeshore,789
Visitacion Valley,731
Inner Sunset,712
Japantown,710
Portola,702
Lone Mountain/USF,670
Oceanview/Merced/Ingleside,604
Golden Gate Park,599
Noe Valley,583
Presidio Heights,328
Glen Park,300
Twin Peaks,298
Presidio,200
Treasure Island,172
Seacliff,80
Lincoln Park,79
McLaren Park,73
