Neighborhood,Latitude,Longitude
Bayview Hunters Point,37.730769089532515,-122.38200943856873
Bernal Heights,37.74051199978049,-122.41606700038484
Castro/Upper Market,37.762518500039135,-122.43673250016688
Chinatown,37.7971134997498,-122.40652850020984
Excelsior,37.720119777658674,-122.43437049972803
Financial District/South Beach,37.792437206663294,-122.39656362235999
Glen Park,37.73988600005174,-122.4374550000685
Inner Richmond,37.78142500035288,-122.46549850015106
Haight Ashbury,37.76761749993308,-122.44273599992962
Hayes Valley,37.77469100013426,-122.43037200015738
Inner Sunset,37.75751100002364,-122.46182550005517
Japantown,37.785007499991,-122.43393500016995
Tenderloin,37.78172000005603,-122.41445350005529
Lakeshore,37.72184849970134,-122.48987659000508
Lone Mountain/USF,37.777407499919335,-122.44989050023065
Marina,37.80274892681686,-122.43659250002885
Russian Hill,37.80202703741078,-122.41947700000648
Mission,37.76173749969392,-122.41496300023536
Mission Bay,37.77365896714494,-122.3932229131437
Nob Hill,37.79285749977168,-122.41496350021883
Seacliff,37.78716848887612,-122.48292150003222
Noe Valley,37.74908249990703,-122.43436349964946
North Beach,37.80454039524342,-122.41060554371461
Oceanview/Merced/Ingleside,37.71675100002378,-122.46026649957535
South Of Market,37.77749399981532,-122.40572699994658
Sunset/Parkside,37.747141499663165,-122.493664638093
Outer Mission,37.72164465389068,-122.4475269996336
Outer Richmond,37.77853803580791,-122.49332928961249
Pacific Heights,37.79075900007612,-122.43452849991382
Portola,37.72707450020951,-122.41030800007124
Potrero Hill,37.75834399984082,-122.39284742720929
Presidio,37.798903701142265,-122.46612149448912
Presidio Heights,37.786568000019024,-122.45113450022589
Twin Peaks,37.752289500039936,-122.45018149975871
Visitacion Valley,37.714082126948526,-122.41143899998781
West of Twin Peaks,37.73510649999707,-122.45425449984663
Western Addition,37.7761752286,-122.423614972
